"編號",資料名稱,資料來源,更新頻率,檔案格式,主要欄位,資料連結網址,分類及編號,資料集描述,主要欄位說明,資料集類型,資源格式,最後更新時間,資料集提供機關,資料量,收錄期間(起),收錄期間(迄),授權方式,計費方式,計費說明網址,計費法令依據,資料集說明網址,編碼格式,標籤/關鍵字,建立日期,資料集提供機關聯絡人,資料集提供機關電話,資料集提供機關聯絡人電子郵件,備註
11,107年老人及身心障礙者送餐服務提供單位清冊,380120000J 【社會局】,每年,XLSX,區、單位名稱、服務區域、聯絡電話,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=013c804d-d7e4-4b69-9fce-b2c641c49d3c,生活安全及品質 (144),107年老人及身心障礙者送餐服務提供單位名稱、服務區域及聯絡電話等資訊。,區、單位名稱、服務區域、聯絡電話,原始資料,XLSX,2018-04-09 15:13:16,380120000J 【社會局】,,,,政府資料開放授權條款－第1版,,,,,,"""身心障礙, 老人""",2018-03-23 10:53:58,戴世芸,03-3322101分機6302,103154@mail.tycg.gov.tw,
12,桃園市早期療育社區資源中心,380120000J 【社會局】,不定期,CSV,中心名稱(桃園市早期療育社區資源中心中心名稱)、委辦單位(桃園市早期療育社區資源中心委辦單位)、服務區(桃園市早期療育社區資源中心服務區)、服務內容(桃園市早期療育社區資源中心服務內容)、服務對象(桃園市早期療育社區資源中心服務對象)、服務時間(桃園市早期療育社區資源中心服務時間),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=01a08d76-77dc-433f-906c-1c6d960881c0,就醫 (57),早期療育社區資源中心電話、服務內容,中心名稱(桃園市早期療育社區資源中心中心名稱)、委辦單位(桃園市早期療育社區資源中心委辦單位)、服務區(桃園市早期療育社區資源中心服務區)、服務內容(桃園市早期療育社區資源中心服務內容)、服務對象(桃園市早期療育社區資源中心服務對象)、服務時間(桃園市早期療育社區資源中心服務時間),原始資料,CSV,2018-04-09 18:24:18,380120000J 【社會局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""就醫, 早期療育, 社會局""",2015-10-01 06:52:33,洪小姐,03-3322101#6322,10015223@mail.tycg.gov.tw,
13,桃園捷運車站設施資料,376737200A 【桃園捷運公司】,不定期,XML,StationFacilityList(車站設施資料)、UpdateTime(更新日期時間)、StationFacilities(車站設施資訊)、StationFacility(車站設施資料)、StationID(車站代號)、StationName(車站中文名稱)、Elevators(無障礙電梯位置資訊)、Elevator(無障澳電梯位置資料)、Description(無障礙電梯位置描述)、FloorLevel(無障礙電梯樓層)、InformationSpots(詢問處位置資訊)、InformationSpot(詢問處位置資料)、Description(詢問處位置描述)、FloorLevel(詢問處樓層)、DrinkingFountains(飲水機位置資訊)、DrinkingFountain(飲水機位置資料)、Description(飲水機位置描述)、FloorLevel(飲水機樓層)、Toilets(廁所位置資訊)、Toilet(廁所位置資料)、Description(廁所位置描述)、FloorLevel(廁所樓層),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=01b01342-bfd5-4af3-a707-624adc673b00,交通及通訊 (125),桃園捷運車站設施資料,StationFacilityList(車站設施資料)、UpdateTime(更新日期時間)、StationFacilities(車站設施資訊)、StationFacility(車站設施資料)、StationID(車站代號)、StationName(車站中文名稱)、Elevators(無障礙電梯位置資訊)、Elevator(無障澳電梯位置資料)、Description(無障礙電梯位置描述)、FloorLevel(無障礙電梯樓層)、InformationSpots(詢問處位置資訊)、InformationSpot(詢問處位置資料)、Description(詢問處位置描述)、FloorLevel(詢問處樓層)、DrinkingFountains(飲水機位置資訊)、DrinkingFountain(飲水機位置資料)、Description(飲水機位置描述)、FloorLevel(飲水機樓層)、Toilets(廁所位置資訊)、Toilet(廁所位置資料)、Description(廁所位置描述)、FloorLevel(廁所樓層),原始資料,XML,2017-08-01 09:11:34,376737200A 【桃園捷運公司】,,,,政府資料開放授權條款－第1版,,,,,""", UTF-8""","""設施, 廁所, 電梯, 飲水機, 詢問處, 桃園捷運""",2017-02-20 16:51:25,曾先生,03-2838888#88482,joe.tseng@tymetro.com.tw,
14,桃園市公布違反性別工作平等法事業單位,380240000J 【勞動局】,每季,CSV,編號(編號)、事業單位名稱(事業單位名稱)、代表人(代表人)、違反法令條(違反法令條)、違反法規內容(違反法規內容)、處分書文號(處分書文號)、處分日期(處分日期),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=01b6a6d4-0fde-4c49-a158-e24c75327e25,公共資訊 (948),公布違反性別工作平等法事業單位,編號(編號)、事業單位名稱(事業單位名稱)、代表人(代表人)、違反法令條(違反法令條)、違反法規內容(違反法規內容)、處分書文號(處分書文號)、處分日期(處分日期),原始資料,CSV,2018-07-05 17:21:10,380240000J 【勞動局】,,,,政府資料開放授權條款－第1版,,,,,Big5,"""違反性別工作平等法, 違反性平, 公布違反性別工作平等法事業單位, 違反性別平等法""",2016-05-13 08:05:44,馮小姐,03-3322101分機6804-6806,10019647@mail.tycg.gov.tw,
15,105年度楊梅區新舊地號對照資料,380160000A 【地政局】,不定期,CSV,舊地號行政區(舊地號行政區)、新地號行政區(新地號行政區)、舊地段名稱(舊地段名稱)、新地段名稱(新地段名稱)、舊地號(舊地號)、新地號(新地號),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=01d86990-deef-4f66-b181-f136148fc47d,購屋及遷徒 (195),"楊梅區歷年因重測業務之新舊地號對照資料(截至104年底止) ",舊地號行政區(舊地號行政區)、新地號行政區(新地號行政區)、舊地段名稱(舊地段名稱)、新地段名稱(新地段名稱)、舊地號(舊地號)、新地號(新地號),原始資料,CSV,2018-03-17 10:57:12,380160000A 【地政局】,46889,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""新舊地號, 楊梅, 105年""",2016-02-19 10:50:50,劉小姐,03-3322101分機5353,10025176@mail.tycg.gov.tw,
16,空氣品質監測月報表,380150000I 【環境保護局】,每月,XLS,"""1.人工監測站月報表：測站名稱、測站編號、總懸浮微粒監測起迄時間、總懸浮微粒監測時間天氣、總懸浮微粒監測結果、總懸浮微粒氯鹽含量、總懸浮微粒硝酸鹽含
                                  量、總懸浮微粒硫酸鹽含量、總懸浮微粒鉛含量、落塵量監測起迄時間、落塵量監測結果、落塵水pH值、落塵水導電度
2.自動監測站月報表：監測項目時間、NO(一氧化氮)、NO2(二氧化氮)、NOX(氮氧化物)、SO2(二氧化硫)、CO(一氧化碳)、O3(臭氧)、CH4(甲烷)、NMHC(非甲烷碳
                                  氫化合物)、THC(總碳氫化合物)、PM2.5(細懸浮微粒)、PM10(懸浮微粒)""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=01dccf46-ab70-47b0-872b-698544e29ed2,生活安全及品質 (144),彙整每月桃園市轄內空氣品質自動監測站及人工監測站監測月報表,"""1.人工監測站月報表：測站名稱、測站編號、總懸浮微粒監測起迄時間、總懸浮微粒監測時間天氣、總懸浮微粒監測結果、總懸浮微粒氯鹽含量、總懸浮微粒硝酸鹽含
                                  量、總懸浮微粒硫酸鹽含量、總懸浮微粒鉛含量、落塵量監測起迄時間、落塵量監測結果、落塵水pH值、落塵水導電度
2.自動監測站月報表：監測項目時間、NO(一氧化氮)、NO2(二氧化氮)、NOX(氮氧化物)、SO2(二氧化硫)、CO(一氧化碳)、O3(臭氧)、CH4(甲烷)、NMHC(非甲烷碳
                                  氫化合物)、THC(總碳氫化合物)、PM2.5(細懸浮微粒)、PM10(懸浮微粒)""",原始資料,XLS,2017-12-26 11:42:55,380150000I 【環境保護局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,空氣品質監測月報表,2017-06-20 10:50:50,林慧美,03-4331718#610,10000897@mail.tycg.gov.tw,
17,桃園市失業率按教育程度別分-高中(職),380200000A 【主計處】,每年,CSV,年別(年別)、男性(男性)、女性(女性),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=0275265e-9a87-4a92-a335-b3e71cec30c8,求職及就業 (48),桃園市失業率按教育程度別分-高中(職),年別(年別)、男性(男性)、女性(女性),原始資料,CSV,2018-03-09 10:07:53,380200000A 【主計處】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,桃園市失業率按教育程度別分-高中高職,2017-10-03 10:41:45,林小姐,03-3322101#5587,10017515@mail.tycg.gov.tw,"""定義：高中（職）程度者之失業率。（高中（職）失業人口數／高中（職）勞動力人口數）×100  
單位：%"""
18,資訊可變標誌 設備資訊,380290000H 【交通局】,即時,XML,UpdateTime(資料更新時間)、DeviceId(設備編號)、DeviceKind(設備種類)、Attribute(設備屬性)、Location(設備位置描述)、Direction(顯示方向)、WgsX(WGS座標系統X座標)、WgsY(WGS座標系統Y座標),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=027df6be-74c4-4aa2-a220-b2a5d47820bf,交通及通訊 (125),交通局發布資訊可變標誌設備資訊，包括設備編號、設備種類、設備屬性、設備位置描述、設備顯示方向、設備座標位置等資料。由於設備位置資料屬靜態資料， 通常於異動路側設備時才會進行資料更新。,UpdateTime(資料更新時間)、DeviceId(設備編號)、DeviceKind(設備種類)、Attribute(設備屬性)、Location(設備位置描述)、Direction(顯示方向)、WgsX(WGS座標系統X座標)、WgsY(WGS座標系統Y座標),網路服務,XML,2017-12-18 20:28:00,380290000H 【交通局】,45,2015-01-01,2015-12-31,政府資料開放授權條款－第1版,,,,,,"""交通局, 資訊可變標誌, CMS, 交通及通訊""",2015-10-01 07:59:53,陳先生,03-3322101 #6857,099102@mail.tycg.gov.tw,
19,桃園市政府消防局救災救護指揮中心受理行動電話量統計,380320000A 【消防局】,每年,CSV,年度(民國紀年統計年度。)、總來話次數_次(當年度受理行動電話總來話次數。)、總談話時間_小時(當年度受理行動電話總通話時間，單位為小時。)、總談話時間_分(當年度受理行動電話總通話時間，單位為分。)、總談話時間_秒(當年度受理行動電話總通話時間，單位為秒。),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=028728e9-e0ca-4f35-88d2-ae5adcad3867,公共資訊 (948),提供桃園市政府消防局119報案專線年度受理行動電話報案次數及通話時間統計,年度(民國紀年統計年度。)、總來話次數_次(當年度受理行動電話總來話次數。)、總談話時間_小時(當年度受理行動電話總通話時間，單位為小時。)、總談話時間_分(當年度受理行動電話總通話時間，單位為分。)、總談話時間_秒(當年度受理行動電話總通話時間，單位為秒。),原始資料,CSV,2018-01-15 10:03:33,380320000A 【消防局】,4,2014-01-01,2017-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""消防, 119""",2017-05-12 09:18:00,羅先生,03-3379119-698,alliechang@mail.tyfd.gov.tw,
20,桃園市其他天然災害出動救災裝備,380320000A 【消防局】,每年,CSV,區域(桃園市十三個行政區)、出動救災裝備_車輛(出動救災裝備，分為車輛_船艇_直升機_其他。)、出動救災裝備_船艇(出動救災裝備，分為車輛_船艇_直升機_其他。)、出動救災裝備_直升機(出動救災裝備，分為車輛_船艇_直升機_其他。)、出動救災裝備_其他(出動救災裝備，分為車輛_船艇_直升機_其他。),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=02affcb2-3d2b-4ee1-9148-093d42dd9956,公共資訊 (948),提供桃園市非屬地震、颱風、水災的天然災害搶救出動之車輛、船艇、直升機及其他裝備統計。,區域(桃園市十三個行政區)、出動救災裝備_車輛(出動救災裝備，分為車輛_船艇_直升機_其他。)、出動救災裝備_船艇(出動救災裝備，分為車輛_船艇_直升機_其他。)、出動救災裝備_直升機(出動救災裝備，分為車輛_船艇_直升機_其他。)、出動救災裝備_其他(出動救災裝備，分為車輛_船艇_直升機_其他。),原始資料,CSV,2018-03-30 10:56:47,380320000A 【消防局】,26,2016-01-01,2017-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""消防, 天然災害""",2017-05-11 15:56:54,鍾先生,03-3379119-660,alliechang@mail.tyfd.gov.tw,
21,桃園市各都市計畫區土地使用發展現況統計表,380360000G 【都市發展局】,不定期,CSV,都市計畫名稱(都市計畫名稱)、都市計畫區面積(都市計畫區面積)、都市發展用地總計計畫面積公頃(都市發展用地總計計畫面積公頃)、都市發展用地總計比例百分比(都市發展用地總計比例百分比)、都市發展用地住宅區計畫面積公頃(都市發展用地住宅區計畫面積公頃)、都市發展用地住宅區比例百分比(都市發展用地住宅區比例百分比)、都市發展用地商業區計畫面積公頃(都市發展用地商業區計畫面積公頃)、都市發展用地商業區比例百分比(都市發展用地商業區比例百分比)、都市發展用地工業區計畫面積公頃(都市發展用地工業區計畫面積公頃)、都市發展用地工業區比例百分比(都市發展用地工業區比例百分比)、都市發展用地其他分區計畫面積公頃(都市發展用地其他分區計畫面積公頃)、都市發展用地其他分區比例百分比(都市發展用地其他分區比例百分比)、都市發展用地公共設施用地計畫面積公頃(都市發展用地公共設施用地計畫面積公頃)、都市發展用地公共設施用地比例百分比(都市發展用地公共設施用地比例百分比)、非都市發展用地計畫面積公頃(非都市發展用地計畫面積公頃)、非都市發展用地比例百分比(非都市發展用地比例百分比),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=02f782c6-b200-4f14-a5d6-24f940e85939,公共資訊 (948),桃園市各都市計畫區土地使用發展現況統計表,都市計畫名稱(都市計畫名稱)、都市計畫區面積(都市計畫區面積)、都市發展用地總計計畫面積公頃(都市發展用地總計計畫面積公頃)、都市發展用地總計比例百分比(都市發展用地總計比例百分比)、都市發展用地住宅區計畫面積公頃(都市發展用地住宅區計畫面積公頃)、都市發展用地住宅區比例百分比(都市發展用地住宅區比例百分比)、都市發展用地商業區計畫面積公頃(都市發展用地商業區計畫面積公頃)、都市發展用地商業區比例百分比(都市發展用地商業區比例百分比)、都市發展用地工業區計畫面積公頃(都市發展用地工業區計畫面積公頃)、都市發展用地工業區比例百分比(都市發展用地工業區比例百分比)、都市發展用地其他分區計畫面積公頃(都市發展用地其他分區計畫面積公頃)、都市發展用地其他分區比例百分比(都市發展用地其他分區比例百分比)、都市發展用地公共設施用地計畫面積公頃(都市發展用地公共設施用地計畫面積公頃)、都市發展用地公共設施用地比例百分比(都市發展用地公共設施用地比例百分比)、非都市發展用地計畫面積公頃(非都市發展用地計畫面積公頃)、非都市發展用地比例百分比(非都市發展用地比例百分比),原始資料,CSV,2018-03-26 17:10:10,380360000G 【都市發展局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""都發局, 土地使用發展現況""",2016-02-19 09:01:06,蔡先生,03-3322101#5780,10007260@mail.tycg.gov.tw,
22,2016台灣燈會官網Google Analytics分析資料,380220000A 【研究發展考核委員會】,不定期,CSV,"""時間索引,日期範圍,區隔(所有使用者、行動裝置流量、平板電腦和桌上型電腦流量),量化指標(新工作階段%、工作階段、平均工作階段時間長度、使用者、單次工作階段頁數、跳出率、瀏覽量)""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=033bb6d2-24f3-4efb-a860-a4953930f9e8,休閒旅遊 (72),本資料集蒐集2016台灣燈會2016/1/21 0時至2016/5/1 23時Google  Analytics分析資料,"""時間索引,日期範圍,區隔(所有使用者、行動裝置流量、平板電腦和桌上型電腦流量),量化指標(新工作階段%、工作階段、平均工作階段時間長度、使用者、單次工作階段頁數、跳出率、瀏覽量)""",原始資料,CSV,2016-05-18 08:39:36,380220000A 【研究發展考核委員會】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""Google Analytics, 燈會, 網站""",2016-05-18 08:17:24,劉先生,03-3322101#6955,10010155@mail.tycg.gov.tw,
