編號,資料集名稱,資料集說明,資料集連結網址,主要欄位說明,使用對象,授權說明網址,更新頻率,計費方式,資料分類,資料量,資料集提供機關,資料集提供機關聯絡人,資料集提供機關聯絡人電話,資料集空間範圍,資料集語系,資料集類型,關鍵字,備註
13,臺中市道路挖掘當日施工資訊,"本資料係提供臺中市政府建設局及各區公所核發當日挖掘許可之施工資訊，其資訊包含緊急性、計畫性及一般性等挖掘類型案件。
",http://opendata.taichung.gov.tw/dataset/3ac86a9b-1a9f-11e8-8f43-00155d021202,申請書編號：CASE_ID\r\n許可證編號：AC_NO\r\n核准起日：ABE_DA\r\n核准迄日：AEN_DA\r\n申請單位：UN_NA\r\n工程名稱：CONST_NAME\r\n案件類別：CASE_KIND\r\n管線工程類別：WORK_KIND\r\n區域名稱：TOWN_NAME\r\n地點：LOCATION\r\n是否開工：real_op\r\n承辦人：UR_NA\r\n承辦人電話：UR_TI\r\n廠商名稱：UR_CON\r\n廠商電話：UR_CON_TEL\r\n中心點X座標：X_CP\r\n中心點Y座標：Y_CP\r\n施工範圍座標：w_RANGE,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,即時,免費,交通資訊,0,臺中市政府建設局,張志遠,22289111ext.33730,臺中市,中文,rawData,"道路挖掘, 施工, 緊急性挖掘, 地理資料",
14,警察局105年8月份交通事故資料,臺中市政府警察局105年8月份交通事故資料,http://opendata.taichung.gov.tw/dataset/1b391e3f-1b54-11e8-8f43-00155d021202,臺中市政府警察局105年8月份交通事故資料,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,9164,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年8月, 交通事故",
15,警察局105年10月份交通事故資料,臺中市政府警察局105年10月份交通事故資料,http://opendata.taichung.gov.tw/dataset/1b391f61-1b54-11e8-8f43-00155d021202,年、月、日、時、分、縣市、區、死、受傷、2-30、天候、光線、道路類別、速限、道路型態、事故位置、路面鋪裝、路面狀態、路面缺陷、障礙物、視距、號誌種類、號誌動作、分向設施、快車道或一般車道間、快慢車道間、路面邊線、事故類型及型態、主要肇因、受傷程度、主要傷處、保護裝備、行動電話、當事者區分(類別)、車輛用途、當事者行動狀態、駕駛資格情形、駕駛執照種類、飲酒情形、車輛撞擊部位最初、車輛撞擊部位其他、肇事因素個別、肇事因素主要、肇事逃逸、職業、旅次目的、車種、GPS座標X、GPS座標Y,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8972,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
16,長青福利服務-老人營養餐飲,提供本市老人營養餐飲服務申請資格、補助標準、送餐單位名稱、地址、電話及本府承辦人員聯絡資訊。,http://opendata.taichung.gov.tw/dataset/1b38f279-1b54-11e8-8f43-00155d021202,區域、服務區域、單位名稱、電話、地址,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,老年安養,6,臺中市政府社會局,蘇鈴潔,22289111+37421,臺中市,中文,rawData,"老人,餐飲服務,營養餐飲",本報表為歷史資料已無更新，於1070101移撥本市衛生局。
17,臺中市社區健走步道,臺中市社區健走步道共68條,http://opendata.taichung.gov.tw/dataset/1b33a3f4-1b54-11e8-8f43-00155d021202,序號、行政區、名稱、距離公尺、走路4公里小時、騎腳踏車88公尺小時、備註運動消耗熱量大卡註以60公斤成人為例\r\n\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,即時,免費,休閒旅遊,0,臺中市政府衛生局,張婉亭,25265394＃3140,臺中市,中文,rawData,健走步道,
18,3364-01-01-2 臺中市政府各機關免書證免謄本系統查詢統計表,"本府查詢戶籍資料庫與地籍資料與房屋稅籍資料庫之每月次數

",http://opendata.taichung.gov.tw/dataset/0e568488-1817-4429-bec4-8106f3d57b69,RptNo(表號)、RptName(表名)、StatCourseNo(統計科目代碼)、StatCourseName(統計科目名稱)、DataDate(資料日期)、PlaceNo(地區代碼)、PlaceName(地區名稱)、PeriodNo(週期代碼)、PeriodName(週期名稱)、Complex1(複分類一)、ComplexName(複分類一名稱)、Complex2(複分類二)、Complex2Name(複分類二名稱)、Complex3(複分類三)、Complex3Name(複分類三名稱)、Complex4(複分類四)、Complex4Name(複分類四名稱)、Complex5(複分類五)、Complex5Name(複分類五名稱)、DeriveNo(衍生項目代碼)、DeriveExplain(衍生項目說明)、FValue(數值資料)、SValue(文字符號)、RptDeptNo(製表機關單位)、RptDeptName(製表機關名稱)、CreateTime(建立時間)、ModifyTime(修改時間),一般民眾,http://opendata.taichung.gov.tw/licenseTerms,即時,免費,公共資訊,0,臺中市政府研究發展考核委員會,許家豪,04-22289111-22566,,中文,rawData,"公務統計報表,免書證,免謄本",
19,合法旅館,臺中市轄區內合法旅館,http://opendata.taichung.gov.tw/dataset/3abb7d9d-1a9f-11e8-8f43-00155d021202,臺中市轄區內合法旅館,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,休閒旅遊,0,臺中市政府觀光旅遊局,陳冠宏,22289111-58035,,中文,rawData,"旅館, 住宿",
20,臺中市107年火災資料統計,臺中市火災資料統計,http://opendata.taichung.gov.tw/dataset/1b38fd8d-1b54-11e8-8f43-00155d021202,火災發生數、火災發生場所、火災發生時段、火災發生原因、火災起火處所,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,生活安全及品質,0,臺中市政府消防局,何思佳,04-24752119*320,全臺中市,中文,rawData,"火災次數,火災分類,起火時段,火災死傷,損失,保險,建築物高度,類別,用途,起火處,起火原因,火災案件",
21,臺中市106年度1-7月役男徵兵檢查體位判等因素分析統計表,臺中市106年度1-7月役男徵兵檢查體位判等因素分析，依各種病名判定,http://opendata.taichung.gov.tw/dataset/1b38ddcd-1b54-11e8-8f43-00155d021202,年、月、項次、病名、常備役暨常備役甲、常備役乙、替代役暨替代役甲、替代役乙、免役、體位未定、專科檢查,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,服兵役,0,臺中市政府民政局,陳淑貞,0937432851,,中文,rawData,"徵兵檢查,體位判等",
22,觀光旅館,臺中市觀光旅館,http://opendata.taichung.gov.tw/dataset/3abb7e64-1a9f-11e8-8f43-00155d021202,序號、核准營業日期、縣市旅宿登記證號、類別、星等、旅宿名稱、縣市、鄉鎮、地址、電話、傳真、房間數、電子郵件、網址、郵遞區號,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定時,免費,休閒旅遊,0,臺中市政府觀光旅遊局,陳冠宏,22289111-58035,,中文,rawData,觀光旅館,
23,警察局105年9月份交通事故資料,臺中市政府警察局105年9月份交通事故資料,http://opendata.taichung.gov.tw/dataset/1b391ece-1b54-11e8-8f43-00155d021202,臺中市政府警察局105年9月份交通事故資料,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8992,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
24,警察局105年12月份交通事故資料,臺中市政府警察局105年12月份交通事故資料,http://opendata.taichung.gov.tw/dataset/1b3920c1-1b54-11e8-8f43-00155d021202,年、月、日、時、分、縣市、區、死、受傷、2-30、天候、光線、道路類別、速限、道路型態、事故位置、路面鋪裝、路面狀態、路面缺陷、障礙物、視距、號誌種類、號誌動作、分向設施、快車道或一般車道間、快慢車道間、路面邊線、事故類型及型態、主要肇因、受傷程度、主要傷處、保護裝備、行動電話、當事者區分(類別)、車輛用途、當事者行動狀態、駕駛資格情形、駕駛執照種類、飲酒情形、車輛撞擊部位最初、車輛撞擊部位其他、肇事因素個別、肇事因素主要、肇事逃逸、職業、旅次目的、車種、GPS座標X、GPS座標Y,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
25,臺中市市立國中各校男女生人數統計,臺中市市立國中各校男女生人數統計,http://opendata.taichung.gov.tw/dataset/1b38fec6-1b54-11e8-8f43-00155d021202,"學校名稱,7年級學生數,8年級學生數,9年級學生數",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,求學及進修,0,臺中市政府教育局,魏志華,22289111+54219,,中文,rawData,"男生數,女生數",
26,臺中市每月交通事故資料表,臺中市交通事故資料細部資料，另代號請與「對照表」對照說明意義,http://opendata.taichung.gov.tw/dataset/1b390530-1b54-11e8-8f43-00155d021202,年、月、日、時、分、縣市、區、死、受傷、2-30、天候、光線、道路類別、速限、道路型態、事故位置、路面鋪裝、路面狀態、路面缺陷、障礙物、視距、號誌種類、號誌動作、分向設施、快車道或一般車道間、快慢車道間、路面邊線、事故類型及型態、主要肇因、受傷程度、主要傷處、保護裝備、行動電話、當事者區分(類別)、車輛用途、當事者行動狀態、駕駛資格情形、駕駛執照種類、飲酒情形、車輛撞擊部位最初、車輛撞擊部位其他、肇事因素個別、肇事因素主要、肇事逃逸、職業、旅次目的、車種、GPS座標X、GPS座標Y,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,8592,臺中市政府警察局,施勝民,04-23274275,臺中市,中文,rawData,"車禍,事故",
27,臺中市政府警察局各分局、分駐（派出）所服務據點,臺中市政府警察局各分局、分駐（派出）所服務據點及聯絡電話,http://opendata.taichung.gov.tw/dataset/1b3906a2-1b54-11e8-8f43-00155d021202,機關、編號、單位別、轄區、地址、電話、行動節費電話,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,0,臺中市政府警察局,黃璽諺,04-22351030,臺中市,中文,rawData,"派出所,分局,電話,地址,外勤",
28,臺中市輔具服務單位,為協助身心障礙者運用輔具克服環境障礙及提升生活品質，設置輔具資源中心，提供民眾輔具諮詢、輔具展示、輔具評估、二手輔具租借、輔具維修、二手輔具贈與、輔具巡迴服務及輔具體驗等服務。,http://opendata.taichung.gov.tw/dataset/3ace79d0-1a9f-11e8-8f43-00155d021202,性質、主管機關、單位名稱、辦理單位、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、備註、最後更新時間,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,3,臺中市政府社會局,施孟萍,22289111*37316,全臺中市,中文,rawData,"輔具, 輔具中心, 地理資料",
29,臺中市噪音管制圖_TWD97,依地形圖及都市計畫圖數化分區管制圖,http://opendata.taichung.gov.tw/dataset/742ad10e-9437-4a80-a654-71bf1e1c7665,na,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,22969,臺中市政府環境保護局,葉嘉宏,04-22276011#66233,台中市,中文,rawData,"噪音,管制區,地理資料",
30,警察局106年6月份交通事故資料,本局106年6月份交通事故逐案細部資料,http://opendata.taichung.gov.tw/dataset/1b39224a-1b54-11e8-8f43-00155d021202,年、月、日、時、分、縣市、區、死、受傷、2-30、天候、光線、道路類別、速限、道路型態、事故位置、路面鋪裝、路面狀態、路面缺陷、障礙物、視距、號誌種類、號誌動作、分向設施、快車道或一般車道間、快慢車道間、路面邊線、事故類型及型態、主要肇因、受傷程度、主要傷處、保護裝備、行動電話、當事者區分(類別)、車輛用途、當事者行動狀態、駕駛資格情形、駕駛執照種類、飲酒情形、車輛撞擊部位最初、車輛撞擊部位其他、肇事因素個別、肇事因素主要、肇事逃逸、職業、旅次目的、車種、GPS座標X、GPS座標Y,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"106年,交通事故,地理資料",
31,臺中市公共設施管線_TWD97,地面測量,http://opendata.taichung.gov.tw/dataset/c5a54479-bca9-4760-a4f4-8646cd6d7f56,"管線路面設施,如人手孔,路燈,電力設施等",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,31,臺中市政府建設局,張志遠,04-22289111#33730,台中市,中文,rawData,"公共設施管線,管線,地理資料,SHP",
32,107年第1季防空避難設備,臺中市107年第1季防空避難設備,http://opendata.taichung.gov.tw/dataset/8995b66e-007e-4603-b1db-7c28827cdfaf,臺中市107年第1季防空避難設備,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,0,臺中市政府警察局,涂連富,(04)2222-2086,全臺中市,中文,rawData,防空避難設備,
33,107年度臺中市地方總預算,107年度臺中市地方總預算相關表件,http://opendata.taichung.gov.tw/dataset/a4349a2a-a74b-460e-88ac-a79e11726cb2,歲入歲出簡明比較分析表、歲入歲出性質及餘絀簡明比較分析表、收支簡明比較分析表、歲入來源別預算總表、歲入來源別預算比較總表(經資併計)、歲入來源別預算比較總表(經常門)、歲入來源別預算比較總表(資本門)、歲出政事別預算總表、歲出政事別預算比較總表(經資併計)、歲出政事別預算比較總表(經常門)、歲出政事別預算比較總表(資本門)、歲出機關別預算總表、歲出機關別預算比較總表(經資併計)、歲出機關別預算比較總表(經常門)、歲出機關別預算比較總表(資本門)、基金別預算分析表、歲入來源別預算表(經常門)、歲入來源別預算表(資本門)、歲出政事別預算表(經常門)、歲出政事別預算表(資本門)、歲出機關別預算表、各機關歲入來源別科目分析總表、各機關歲出政事別科目分析總表、各機關歲出用途別科目分析總表、各機關資本支出分析總表、歲出人事費彙計表、員工總表、約聘僱人員費用彙計表、補助及捐助經費總表、中程資本支出計畫概況表、歲出按職能及經濟性綜合分類表,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,0,臺中市政府主計處,羅珮嵐,(04)2228-9111#19108,臺中市,中文,rawData,地方總預算,
34,臺中市常備兵役役男家屬105年安家費暨三節生活扶助金統計表,臺中市常備兵役役男家屬105年安家費暨三節生活扶助金統計表，分發給戶數、發給口數、一次安家費、三節生活扶助金等。,http://opendata.taichung.gov.tw/dataset/1b38e28e-1b54-11e8-8f43-00155d021202,役別、鄉鎮市區別、一次安家費甲級發給戶數、一次安家費甲級發給口數、一次安家費甲級金額、一次安家費乙級發給戶數、一次安家費乙級發給口數、一次安家費乙級金額、一次安家費丙級發給戶數、一次安家費丙級發給口數、一次安家費丙級金額、三節生活扶助金甲級發給戶數、三節生活扶助金甲級發給口數、三節生活扶助金甲級金額、三節生活扶助金乙級發給戶數、三節生活扶助金乙級發給口數、三節生活扶助金乙級金額、三節生活扶助金丙級發給戶數、三節生活扶助金丙級發給口數、三節生活扶助金丙級金額\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,服兵役,58,臺中市政府民政局,李若萌,22289111  29503,,中文,rawData,"常備兵役,安家費,生活扶助金",
35,臺中市68家醫院,提供臺中市68家醫院資訊,http://opendata.taichung.gov.tw/dataset/1b38d5b0-1b54-11e8-8f43-00155d021202,序號、醫院、地址、電話 ,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定時,免費,就醫,0,臺中市政府衛生局,黃尹鈴,04-25265394#3730,全臺中市,中文,rawData,"醫院,臺中市醫院數",
36,早期療癒單位,提供本市從事早期兒童療育服務單位基本資料,http://opendata.taichung.gov.tw/dataset/1b38f4ec-1b54-11e8-8f43-00155d021202,編號、資料名稱、資料來源、機構名稱、電話、服務區域、住址,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,出生及收養,1,臺中市政府社會局,何家瑗,22289111轉37509,臺中市,中文,rawData,"早期療育, 地理資料",
37,臺中市每月十大易肇事路段(口),臺中市十大易肇事路段(口)，請民眾行經相關路段時務必小心通行,http://opendata.taichung.gov.tw/dataset/1b390871-1b54-11e8-8f43-00155d021202,編號、轄區分局、路口名稱、A1、A2件數、A2受傷、A3、肇事件數、肇事熱時、主要肇因,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,0,臺中市政府警察局,施勝民,04-23274275,臺中市,中文,rawData,"車禍,道路",
38,臺中市政府警察局各分局規劃巡邏箱線區塊統計一覽表,臺中市政府警察局各分局規劃巡邏箱、線及區塊數統計資料,http://opendata.taichung.gov.tw/dataset/1b390909-1b54-11e8-8f43-00155d021202,統計單位名稱、巡邏線數、巡邏箱數、巡邏區塊數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,0,臺中市政府警察局,張毓銓,04-2327-7029,臺中市,中文,rawData,"巡邏,警察",
39,臺中市公有零售市場地址及聯絡電話,臺中市公有零售市場地址及聯絡電話,http://opendata.taichung.gov.tw/dataset/3abb708b-1a9f-11e8-8f43-00155d021202,"市場名稱,住址,電話",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,0,臺中市政府經濟發展局,祝紫璇,31547,全臺中市,中文,rawData,公有零售市場地址,
40,公眾區免費無線上網熱點資料,本資料集為臺中市iTaichung免費無線上網熱點詳細位置(中英文),http://opendata.taichung.gov.tw/dataset/3abb7344-1a9f-11e8-8f43-00155d021202,"項次,熱點類別,熱點名稱,郵遞區號,縣市名稱,鄉鎮市區,地址,熱點類別(英語),熱點名稱(英語),縣市名稱(英語),鄉鎮市區(英語),地址(英語)",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,0,臺中市政府研究發展考核委員會,林騏宏,22304,,中文,rawData,"iTaichung, 免費無線上網",
41,臺中市市區公車路線圖,該資料集為臺中市市區公車各路線路線圖，該資料集彙整、發布時間難免與各公車實際運行情形有落差，最新詳細乘車資訊仍請依本局官網公告為準。,http://opendata.taichung.gov.tw/dataset/3abb7845-1a9f-11e8-8f43-00155d021202,"各路線編號,各路線圖",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,交通資訊,245,臺中市政府交通局,鄭仕彥,04-22289111#61135,全臺中市,中文,rawData,"路線圖, 市區公車, 臺中市",
42,臺中市公車動態資訊,提供公車動態資訊系統第3方開發者介接檔案範例，如有介接該服務需求，請參考該範例。,http://opendata.taichung.gov.tw/dataset/3abb78fd-1a9f-11e8-8f43-00155d021202,"客運業者,路線站點,公車即時動態資料,公車預估時間資料,公車路線之所有去返程公車站資料\r\n（目前此連結僅提供測試資料，故不會更新，若需即時資料請連結http://lawsearch.taichung.gov.tw/GLRSout/inc/GetFile.ashx?FileId=8501 辦理）\r\n更新頻率：每30秒\r\n",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,交通資訊,0,臺中市政府交通局,鄭仕彥,04-22289111#61135,全臺中市,中文,rawData,"臺中市, 市區公車, 動態資訊",
43,臺中市市區公車站牌資料,該資料集提供民眾民眾各路線各站牌路線資訊，包含站牌中文名稱、站牌英文名稱、站序及站牌經緯度資訊供民眾參考使用。,http://opendata.taichung.gov.tw/dataset/3abb79cc-1a9f-11e8-8f43-00155d021202,路線(路線代號)、路線名稱、站序(站位次序)、中文站點名稱(站點中文名稱)、經度(站位經度)、緯度(站位緯度)、去回(去程、回程、去回程)、英文站點名稱(站點英文名稱),一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,交通資訊,26382,臺中市政府交通局,鄭仕彥,04-22289111#61135,全臺中市,中文,rawData,"站牌, 臺中市, 市區公車, 地理資料",
44,臺中市預防接種合約院所名單,臺中市預防接種合約院所名單,http://opendata.taichung.gov.tw/dataset/3abb7feb-1a9f-11e8-8f43-00155d021202,鄉鎮市區、機構類別、合約醫療院所名稱、十碼代碼、各項公費常規疫苗、公費卡介苗、其他公費疫苗(請自行填列)、自費A型肝炎疫苗(幼兒)、自費A型肝炎疫苗(成人)、自費B型肝炎疫苗、自費肺炎鏈球菌疫苗、自費輪狀病毒疫苗、其他自費疫苗(請自行填列)、接種時間、負責人、洽詢電話、地址、醫療資訊系統廠商代碼、醫療資訊系統廠商名稱,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,就醫,0,臺中市政府衛生局,康嘉玲,(04)25265394,,中文,rawData,預防接種,
45,臺中市視障按摩院所名冊,提供臺中市區視障按摩院所之資訊及聯絡方式,http://opendata.taichung.gov.tw/dataset/3abb880b-1a9f-11e8-8f43-00155d021202,區域、院所名稱、院所地址、聯絡電話\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,0,臺中市政府勞工局,陳峻偉,35431,全臺中市,中文,rawData,視障按摩,
46,臺中市公立幼兒園名冊,臺中市公立幼兒園名冊,http://opendata.taichung.gov.tw/dataset/3ad48849-1a9f-11e8-8f43-00155d021202,"編號,鄉鎮,設立別,幼兒園名稱,幼兒園電話,幼兒園住址,核定總招收人數\r\n",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,求學及進修,0,臺中市政府教育局,劉芳君,22289111+54405,,中文,rawData,"幼兒園, 名冊",
47,臺中市政府警察局受理網路、簡訊、視訊報案統計表,臺中市政府警察局受理網路、簡訊、視訊報案統計件數,http://opendata.taichung.gov.tw/dataset/1b39073d-1b54-11e8-8f43-00155d021202,時間、網路報案、簡訊報案、視訊報案,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,0,臺中市政府警察局,陳志益,04-23285141,臺中市,中文,rawData,"網路,簡訊,視訊,報案",
48,臺中市好客民宿資料,臺中市好客民宿資料,http://opendata.taichung.gov.tw/dataset/3ace9497-1a9f-11e8-8f43-00155d021202,類別、旅宿名稱、縣市、鄉鎮、地址、電話、傳真、房間數、電子郵件、網址,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定時,免費,休閒旅遊,0,臺中市政府觀光旅遊局,陳冠宏,22289111-58035,,中文,rawData,好客民宿,
49,完全以電能為動力之電動大客車及貨車使用牌照稅稅額表,完全以電能為動力之電動大客車及貨車馬達最大馬力對應稅額,http://opendata.taichung.gov.tw/dataset/ca022bf0-2d0a-4238-aa99-2ec63c56129a,"馬達最大馬力英制馬力,馬達最大馬力公制馬力,電動大客車稅額,電動貨車稅額",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,0,臺中市政府地方稅務局,楊琇琇,04-22585000#455,全臺中市,中文,rawData,"電動大客車, 電動貨車, 馬達馬力數",
50,臺中市交通即時道路影像,交通即時道路影像,http://opendata.taichung.gov.tw/dataset/3abb7f2e-1a9f-11e8-8f43-00155d021202,"cctvid(攝影機編號),url(攝影機網址)、狀態",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,即時,免費,交通資訊,0,臺中市政府交通局,曹雅珺,04-22289111#60213,,中文,rawData,交通即時道路影像,
