提供機關名稱,資料集名稱,瀏覽人次,下載次數,資料集評分,上架日
經濟部加工出口區管理處,楠梓、高雄軟體園區就業資訊,"9,258","1,053",80,2013/03/27
經濟部標準檢驗局,ISO認可登錄廠商查詢,"13,956","1,269",20,2013/03/27
經濟部標準檢驗局,各類貨品檢驗合格名單,"9,039",999,100,2013/03/27
經濟部礦務局,台灣區土石生產量值表,"5,722",933,,2013/03/27
經濟部水利署,水利防災資訊,"7,654","1,378",100,2017/09/12
經濟部水利署,防災資訊_淹水警戒,"13,752","1,399",100,2017/09/12
經濟部水利署,防災資訊_河川警戒,"5,753",668,100,2017/09/12
經濟部水利署,防災資訊_水庫洩洪警戒,"5,827",864,100,2017/09/12
科技部中部科學工業園區管理局,中部科學工業園區園區活動訊息,"3,586",318,,2013/03/27
行政院公共工程委員會,拒絕往來廠商公告,"37,373","5,307",100,2013/03/27
行政院公共工程委員會,政府採購法規解釋函令及相關函文,"9,815",432,60,2013/03/27
海洋委員會海巡署,海上救生救難案例,"4,616",313,100,2013/03/27
海洋委員會海巡署,海巡統計年報,"3,903",251,,2013/03/27
海洋委員會海巡署,海巡雙月刊,"4,836",184,100,2013/03/27
海洋委員會海巡署,行政院海岸巡防署「重大政策」,"3,894",154,,2013/03/27
海洋委員會海巡署,行政院海岸巡防署「資本支出-中長程個案計畫」,"3,955",161,,2013/03/27
國家通訊傳播委員會,全國各縣市有線廣播電視基本頻道收視費用,"6,214",634,,2013/03/27
國家通訊傳播委員會,電信設備審驗合格清單,"5,242",528,20,2013/03/27
國家通訊傳播委員會,廣播電臺節目表,"4,258",598,100,2013/03/27
國家通訊傳播委員會,公眾頻率分配,"4,318",474,,2013/03/27
衛生福利部全民健康保險爭議審議會,全民健康保險爭議審議案件統計,"6,717",701,,2013/03/27
文化部,獨立音樂,"20,015","21,734",100,2013/03/27
文化部,徵選活動,"7,210","9,409",60,2013/03/27
文化部,競賽活動,"8,503","10,116",,2013/03/27
文化部,綜藝活動,"8,603","11,512",20,2013/03/27
文化部,電影,"28,966","23,852",100,2013/03/27
文化部,講座資訊,"8,959","11,384",60,2013/03/27
文化部,展覽資訊,"54,114","45,694",60,2013/03/27
文化部,演唱會,"14,159","18,059",100,2013/03/27
文化部,親子活動,"9,719","21,939",100,2013/03/27
文化部,舞蹈表演資訊,"43,164","30,907",40,2013/03/27
文化部,戲劇表演資訊,"43,390","9,940",100,2013/03/27
文化部,音樂表演資訊,"45,702","13,367",,2013/03/27
文化部,其他藝文資訊,"30,918","9,227",20,2013/03/27
行政院主計總處,消費者物價基本分類指數,"14,828","2,616",100,2013/03/27
行政院主計總處,所得層級別消費者物價指數,"6,271",972,20,2013/03/27
行政院主計總處,消費者物價購買頻度別指數,"6,337",948,,2013/03/27
中央銀行,央行貼放利率,"4,245","11,971",60,2013/03/27
中央銀行,金融業隔夜拆款利率,"8,107","5,421",100,2013/03/27
中央銀行,貨幣總計數,"10,339",959,100,2013/03/27
中央銀行,外匯存底,"4,556","12,328",100,2013/03/27
中央銀行,每季新臺幣發行數額及準備狀況,"3,329",309,20,2013/03/27
經濟部工業局,臺灣製產品MIT微笑標章網站通過驗證產品資料,"5,789",818,100,2013/03/28
經濟部智慧財產局,專利百大排行,"4,030",712,,2013/03/28
經濟部能源局,經濟部能源局_國際原油價格,"21,348","2,529",40,2013/03/28
經濟部能源局,經濟部能源局_用電安全資訊,"6,703",674,20,2013/03/28
經濟部能源局,再生能源電能躉購費率及其計算公式,"6,738",462,100,2013/03/28
經濟部能源局,車型耗能證明核發資料,"6,680","2,673",100,2013/03/28
行政院農業委員會,水產精品資料,"3,922",823,100,2013/02/26
行政院農業委員會,農村地方美食小吃特色料理,"18,107","5,252",60,2015/03/30
財政部國庫署,公益彩券盈餘分配及銷售量簡表,"6,374","2,218",,2013/03/28
財政部財政資訊中心,綜合所得稅結算申報書統計表,"6,297","3,879",80,2013/03/28
金融監督管理委員會,金管會新聞稿,"11,465","24,652",20,2013/03/28
金融監督管理委員會,金融機構基本資料查詢,"32,571","16,779",20,2013/03/28
金融監督管理委員會,金融機構國內總、分行存款餘額,"13,120","12,474",80,2013/03/28
金融監督管理委員會,財產保險業保費收入統計表,"9,113","10,961",60,2013/03/28
經濟部商業司,公司設立登記清冊(月份),"59,760","21,964",60,2013/11/30
經濟部商業司,公司變更登記清冊(月份),"28,129","9,743",100,2013/11/30
經濟部商業司,公司解散登記清冊(月份),"23,222","8,585",60,2013/11/30
台灣自來水股份有限公司,停水資訊,"29,914","6,251",60,2013/03/29
交通部公路總局,道路(橋梁)預警性封閉,"9,530","1,208",20,2017/04/27
交通部公路總局,客運時刻,"18,171","2,254",20,2017/02/08
財政部關務署,海關進出口貿易統計,"11,900","3,190",100,2013/03/29
財政部國有財產署,國有非公用土地提供綠美化資訊公開,"5,619","1,251",100,2014/11/27
勞動部,勞工育樂中心訊息,"6,027",654,,2013/03/31
勞動部勞動基金運用局,新制勞工退休基金歷年最低保證收益率,"5,113",934,,2013/03/31
勞動部勞動力發展署,就業博覽會及現場徵才資訊,"11,646","1,459",100,2013/03/31
勞動部勞動力發展署,職業訓練課程資訊,"21,772","1,812",100,2013/03/31
勞動部勞工保險局,勞保局各地辦事處,"4,790",733,40,2013/03/31
勞動部勞工保險局,勞保年金給付介紹,"3,917",818,,2013/03/31
勞動部勞動力發展署技能檢定中心,技能檢定發證數統計資料,"7,502","1,634",60,2013/03/31
台灣電力股份有限公司,用電統計資料,"43,661","6,074",80,2014/03/13
台灣中油股份有限公司油品行銷事業部,加油站服務資訊,"13,042","2,355",100,2013/04/01
民用航空局,國內定期航線月份班表,"6,285",771,100,2017/07/20
交通部中央氣象局,顯著有感地震報告資料-顯著有感地震報告,"117,228","1,155,002",,2017/02/14
交通部中央氣象局,一般天氣預報-今明36小時天氣預報,"35,634","27,297",100,2015/12/29
交通部公路總局,道路(橋梁)災害性封閉,"10,429","1,231",40,2017/04/27
交通部航港局,金廈(五通)及石井航線航班表,"5,976",616,20,2016/08/10
交通部航港局,馬祖小三通(南竿福澳-馬尾、北竿白沙-黃岐)航班表,"5,933",860,80,2016/08/11
科技部南部科學工業園區管理局,南部科學工業園區園區活動通報資訊,"4,048",295,60,2013/04/01
行政院環境保護署,空氣品質監測站基本資料,"22,836","7,056",100,2013/05/22
行政院環境保護署,紫外線即時監測資料,"58,407","27,584",100,2013/05/22
行政院環境保護署,紫外線測站基本資料,"7,104","2,203",100,2013/05/22
行政院環境保護署,河川水質監測資料,"8,741","2,472",100,2013/05/22
行政院環境保護署,河川水質測點基本資料(含地理圖資),"8,948","2,523",80,2013/05/22
行政院環境保護署,環境即時通,"12,666","1,335",100,2013/04/01
原住民族委員會,原住民族歲時祭儀放假日期,"4,367",804,,2013/10/15
原住民族委員會,歷年台閩縣市原住民族人口-按性別族別,"3,967",747,100,2013/08/29
原住民族委員會,原住民十大特色美食,"6,192","1,898",100,2013/08/29
原住民族委員會,101年臺灣原住民族文學獎,"3,487",702,80,2013/10/15
原住民族委員會,拜訪部落-擁抱25條臺灣原住民私房景點路線,"10,701","2,172",20,2013/04/01
教育部統計處,幼兒園名錄,"15,549","3,703",100,2014/08/01
教育部統計處,國民小學名錄,"13,971","3,898",100,2014/08/01
教育部統計處,國民中學名錄,"6,405","1,562",100,2014/08/01
教育部統計處,一般高級中等學校名錄,"10,139","2,326",100,2014/08/01
教育部統計處,獨立高級中等進修學校名錄,"6,815","1,114",100,2014/08/01
教育部統計處,大專校院名錄,"25,622","8,341",80,2014/08/01
國立故宮博物院,第2批書畫類文物後設資料,"3,361",208,,2013/04/01
國立故宮博物院,第1批書畫類文物後設資料,"3,846",240,,2013/04/01
行政院原子能委員會,核能電廠運轉資訊,"3,369",294,,2013/04/02
行政院原子能委員會,全國環境輻射偵測,"48,202","53,861",100,2013/04/02
行政院原子能委員會,原能會Youtube專區,"3,033",160,,2013/04/02
行政院原子能委員會,國內輻射偵檢合格鋼鐵業名冊,"3,362",191,,2013/04/02
行政院原子能委員會,體外劑量評定機構名單,"2,348",130,,2013/04/02
國家發展委員會,景氣指標及燈號,"31,643","2,354",40,2013/04/03
國家發展委員會,臺灣採購經理人指數,"6,938",585,100,2013/04/03
國家發展委員會,人口推計,"7,200",667,100,2013/04/03
國家發展委員會,都市及區域發展統計彙編,"7,418",564,100,2013/04/03
大陸委員會,大陸地區人民來臺從事文教交流統計,"3,777",405,100,2014/09/24
大陸委員會,大陸人士來臺從事文教交流核准數,"3,303",186,,2014/09/24
大陸委員會,金馬小三通航運人員往來統計月報,"3,228",508,100,2014/09/24
僑務委員會,海外僑民團體數,"3,539",643,100,2013/04/03
僑務委員會,海外華文學校、中文班分布情形,"3,197",550,,2013/04/03
僑務委員會,海外信用保證基金承保案件統計,"3,117",420,,2013/04/03
僑務委員會,各級學校及海青班在學僑生人數統計,"3,460",427,,2013/04/03
僑務委員會,辦理華僑身分證明書、護照加簽僑居身分及役政用華僑身分證明書案件,"3,678",390,100,2013/04/03
外交部,駐外館處通訊錄,"3,221",254,100,2013/04/09
外交部,駐華使館及機構通訊錄,"2,876",242,100,2013/04/09
中華郵政股份有限公司,全國郵局ATM分佈,"12,987","2,646",20,2017/03/09
國軍退除役官兵輔導委員會,退輔會所屬醫療機構基本資料,"4,192",263,,2013/04/09
國軍退除役官兵輔導委員會,退輔會所屬醫療機構開設病床數,"3,808",265,,2013/04/09
國軍退除役官兵輔導委員會,退輔會所屬安養機構基本資料,"3,373",320,,2013/04/09
國軍退除役官兵輔導委員會,退輔會所屬安養機構現有床位數,"3,734",368,,2013/04/09
國軍退除役官兵輔導委員會,退輔會所屬農林遊憩區基本資料,"3,600",246,,2013/04/09
公平交易委員會,多層次傳銷-已完成報備名單,"7,531",508,100,2013/04/09
公平交易委員會,多層次傳銷-尚待補正名單,"2,722",319,,2013/04/09
公平交易委員會,多層次傳銷-搬遷不明及無營業跡象名單,"2,899",244,,2013/04/09
公平交易委員會,多層次傳銷-已起訴或判決名單,"3,232",290,80,2013/04/09
公平交易委員會,多層次傳銷事業報備統計,"2,838",193,,2013/04/09
警政署,歷年重大交通事故地點資料,"17,087","3,071",100,2014/03/13
衛生福利部食品藥物管理署,不符合食品資訊資料集,"22,533","2,535",100,2014/09/25
衛生福利部食品藥物管理署,藥局基本資料,"49,986","17,686",20,2014/09/19
國立故宮博物院,第1批器物類文物後設資料,"3,508",180,,2013/04/11
國立故宮博物院,第2批器物類文物後設資料,"3,353",148,,2013/04/11
國立故宮博物院,第3批器物類文物後設資料,"3,313",143,,2013/04/11
交通部臺灣鐵路管理局,鐵路時刻表,"88,654","10,385",20,2016/04/26
臺灣港務股份有限公司,基隆港國際線旅客船船期表,"7,637",792,20,2015/12/29
臺灣港務股份有限公司,高雄港郵輪船期,"11,804","10,190",100,2016/07/11
臺灣港務股份有限公司,花蓮港務分公司觀光郵輪各航次進出港預報表,"5,699",437,100,2015/12/29
行政院原子能委員會,核子反應器設施持照運轉員人數,"2,580",139,,2013/04/12
客家委員會,客家委員會客家學術機構,"3,832",324,,2013/12/19
客家委員會,客家委員會海外客家社團,"4,627",442,,2013/12/19
客家委員會,客家委員會客語生活學校,"4,006",442,,2013/12/19
客家委員會,客家委員會桐花景點步道,"9,604","1,120",80,2013/12/19
客家委員會客家文化發展中心,客家委員會客家文化發展中心圖書資料中心館藏,"3,776",219,20,2013/12/19
客家委員會,客家委員會年度客家民俗節慶活動,"4,673",300,60,2013/12/19
行政院農業委員會,屏東農業生物技術園區進駐企業資訊,"2,572",404,,2013/06/11
勞動部勞動力發展署,微型創業鳳凰創業課程,"5,475",506,100,2013/04/22
勞動部勞動及職業安全衛生研究所,勞動及職業安全衛生研究所_各年度研究報告,"3,399",324,,2013/04/22
行政院公共工程委員會,決標金額前5大之決標公告,"8,074",334,80,2013/04/22
行政院公共工程委員會,各科執業技師人數統計,"5,327",472,100,2013/04/25
國家災害防救科技中心,中央氣象局颱風路徑及預報,"9,115","5,293",20,2013/04/26
國家災害防救科技中心,中央氣象局颱風暴潮觀測,"5,099",697,60,2013/04/26
國家災害防救科技中心,中央氣象局雷達回波,"21,904","159,377",100,2013/04/26
國家災害防救科技中心,中央氣象局雨量觀測-日累積圖,"15,033","8,301",80,2013/04/26
國家災害防救科技中心,中央氣象局雨量站觀測資料,"99,115","55,788",100,2013/04/26
國家災害防救科技中心,中央氣象局颱風侵襲機率,"7,170","1,598",100,2013/04/26
國家災害防救科技中心,水土保持局土石流潛勢溪流(新北市),"6,957","1,220",100,2013/04/26
國家災害防救科技中心,水利署淹水警戒,"7,466","1,651",100,2013/04/26
國家災害防救科技中心,水利署水庫洩洪警戒,"5,100",713,,2013/04/26
國家災害防救科技中心,中央氣象局豪大雨特報,"11,214","7,586",40,2013/04/29
國家災害防救科技中心,中央氣象局地震報告,"10,888","4,968",20,2013/04/29
國家災害防救科技中心,中央氣象局海嘯警報,"6,038","1,893",,2013/04/29
國家災害防救科技中心,水土保持局土石流紅黃警戒,"9,208","2,949",60,2013/04/29
國家災害防救科技中心,中央氣象局颱風警報,"7,515","2,765",60,2013/04/29
國家災害防救科技中心,水利署河川水位警戒,"10,267","2,538",40,2013/04/29
財政部財政資訊中心,全國財產稅籍持有人數統計表,"7,206","2,315",100,2013/04/30
臺灣糖業股份有限公司,台糖加油站據點資訊,"7,057","1,027",80,2013/05/02
臺南市政府,無線上網熱點列表,"7,629","1,078",80,2016/05/05
臺南市政府,國小新生報到人數,"3,573",569,,2014/05/19
臺南市政府,臺南市政府道路挖掘案件資料,"2,997",272,,2017/09/02
臺南市政府,臺南市政府工務局在建工程列表,"3,242",322,,2017/09/02
臺南市政府,臺南市托育(嬰)機構名冊,"4,570",591,100,2017/04/14
臺南市政府,臺南市兒少安置機構名冊,"5,399",669,100,2017/04/14
國防部,衛教資訊,"5,876",731,20,2013/05/02
臺南市政府,國中各校人數統計,"3,425",517,40,2014/06/03
臺南市政府,公園基本資料,"3,390",508,100,2015/10/07
臺南市政府,臺南景點,"6,875","1,101",20,2017/07/14
臺南市政府,臺南餐飲,"4,991",853,20,2017/07/14
國防部,國軍鳥擊防制資料,"3,998",369,100,2013/05/03
中央選舉委員會,總統副總統選舉結果概況,"5,740","1,524",80,2013/05/03
中央選舉委員會,立法委員選舉結果概況及不分區得票資料,"10,448","1,352",100,2013/05/03
中央選舉委員會,直轄市長選舉結果概況,"4,452",671,,2013/05/03
中央選舉委員會,縣市長選舉結果概況,"6,906",861,,2013/05/03
臺南市政府,公私立老人長期照護、養護、安養機構,"4,745",460,60,2016/03/18
國防部,各縣市國軍英雄館基本資料表,"3,862",294,100,2013/05/07
臺南市政府,網路暑假作業競賽,"2,992",245,,2014/06/03
臺南市政府,校園藝文活動新聞,"2,926",299,,2014/06/03
臺南市政府,教育公告,"2,521",204,,2014/06/03
國防部,國軍協助災害防救,"8,571",662,80,2013/05/08
中央選舉委員會,直轄市議員選舉結果概況,"4,671",614,20,2013/05/08
中央選舉委員會,縣市議員選舉結果概況,"6,443",596,20,2013/05/08
中央選舉委員會,鄉鎮市民代表選舉結果概況,"5,236",511,60,2013/05/08
中央選舉委員會,鄉鎮市長選舉結果概況,"3,943",488,80,2013/05/09
臺南市政府,教師研習課程資訊,"2,613",221,,2014/06/03
臺南市政府,非讀BOOK台南愛讀冊,"4,096",281,80,2014/06/03
國防部,國軍文藝活動中心,"8,412",307,80,2013/05/13
中央選舉委員會,直轄市里長選舉結果概況,"14,948","1,478",100,2013/05/13
中央選舉委員會,村里長選舉結果概況,"20,979","1,697",80,2013/05/13
臺南市政府,臺南市學校網路電話,"3,407",445,100,2013/05/17
國防部,國軍加強河川野溪疏濬,"4,309",206,20,2013/05/23
國防部,外島排雷成效資料,"4,259",275,20,2013/05/23
交通部鐵道局,臺灣桃園國際機場捷運全線里程及路線資料,"6,681","3,859",100,2015/12/29
桃園國際機場股份有限公司,台灣桃園國際機場無線上網熱點位置,"4,337",409,40,2017/03/24
國防部,國軍醫院基本資料,"8,890",634,100,2013/06/13
國防部,102年國軍鄉民收容(安置)營區資料,"8,253",287,20,2013/06/13
地政司,本期發布之預售屋買賣實價登錄批次資料,"13,883","5,035",60,2014/03/13
交通部,機車使用狀況調查資料,"27,485","3,805",40,2016/05/11
臺南市政府,運動地圖,"7,201",710,,2016/03/17
交通部高速公路局,高速公路局各服務區顧客服務專線一覽表,"3,885",340,,2015/12/29
文化部,文化部公共藝術,"29,807","18,422",60,2013/07/08
文化部,展演空間,"31,931","29,983",,2013/07/08
文化部,文化行政據點,"3,948",414,,2013/07/08
文化部,特色圖書館,"4,528","1,058",80,2013/07/08
文化部,文創商店,"6,702","1,096",20,2013/07/08
文化部,獨立書店,"9,312","2,550",60,2013/07/08
金融監督管理委員會,各金融機構共通性費用資訊彙整表(銀行),"5,420",688,40,2013/07/10
金融監督管理委員會,各金融機構共通性費用資訊彙整表(信合社),"3,568",269,,2013/07/10
交通部高速公路局,高速公路延車公里統計,"5,477",654,100,2016/04/28
臺南市政府,學校代碼列表,"2,620",187,,2014/06/03
教育部國民及學前教育署,學生體重平均值(6歲-15歲),"10,967","2,575",60,2013/08/30
教育部國民及學前教育署,十二年國民基本教育-適性輔導影片,"2,882",255,,2013/08/30
教育部統計處,大專院校校別學生數,"13,101","10,275",100,2015/01/30
教育部統計處,大專院校校別專任教師數,"5,146",932,60,2015/01/30
教育部統計處,大專校院校別專任教師數－學歷別,"4,488",659,,2015/01/30
教育部統計處,大專院校校別班級數,"3,937",468,,2013/08/01
教育部統計處,大專校院校別畢業生人數(上學年度),"3,991",710,,2015/01/30
教育部統計處,宗教研修學院概況－按校別分,"4,180",647,100,2015/01/30
教育部統計處,空大及大專進修學校概況,"3,216",474,,2015/01/30
教育部統計處,"高級中等學校校別資料(含進修部(學校)) ","3,724",669,,2015/01/30
教育部統計處,國民中學校別資料,"4,835",770,,2015/01/30
教育部統計處,國民小學校別資料,"5,121",931,,2015/01/30
教育部統計處,補習學校校別資料,"3,211",471,,2015/01/30
文化部,博物館,"7,052","1,349",,2013/08/30
文化部,文化部社區,"9,674","1,377",20,2013/08/30
文化部,地方文化館,"6,031",813,100,2013/08/30
國立臺灣工藝研究發展中心,工藝中心工藝之家,"7,153",678,100,2013/08/30
文化部文化資產局,文資局古蹟,"8,476","2,029",80,2013/08/30
警政署,婦幼安全警示地點,"50,422","6,980",80,2014/03/13
交通部,民眾日常使用運具狀況調查,"18,584","3,945",100,2016/08/01
交通部,小客貨車租賃業營運狀況調查資料,"9,096",918,20,2016/05/11
交通部,自行車使用狀況調查,"8,544",808,100,2016/05/11
交通部,民眾對交通部施政措施滿意度調查,"7,330",732,100,2016/05/11
交通部,計程車營運狀況調查,"11,398","2,230",100,2016/11/01
交通部,遊覽車營運狀況調查,"10,033","1,029",100,2016/11/01
勞動部勞工保險局,勞保投保薪資分級表,"18,231","1,547",40,2013/09/06
勞動部勞工保險局,勞就保保險費分擔金額表,"4,482",793,100,2013/09/06
勞動部勞工保險局,職業工會會員勞保月負擔保險費金額表,"4,247",400,60,2013/09/06
勞動部勞工保險局,漁會會員勞保月負擔保險費金額表,"3,447",345,100,2013/09/06
勞動部勞工保險局,職業災害保險適用行業別及費率表,"14,109","1,596",100,2013/09/06
勞動部勞工保險局,投保農會名稱與地址一覽表,"2,121",423,100,2013/09/06
勞動部勞工保險局,勞保局國保業務說明會辦理地區場次,"2,256",350,40,2013/09/06
勞動部勞工保險局,直轄市或縣（市）政府辦理身心障礙鑑定指定醫療機構名冊,"2,933",282,,2013/09/06
勞動部勞工保險局,國民年金保險費代收及轉帳代繳金融機構一覽表,"3,113",259,,2013/09/06
勞動部勞工保險局,勞工保險局委託代收、轉帳保險費金融機構一覽表,"2,307",211,,2013/09/06
勞動部勞工保險局,職業工會、漁會欠費名單,"5,279",694,100,2013/09/06
勞動部勞工保險局,勞工保險預防職業病健康檢查之檢查對象及項目,"3,782",291,,2013/09/06
勞動部勞工保險局,衛生福利部評鑑合格之醫院名單,"24,807","4,526",20,2013/09/06
勞動部勞工保險局,勞工退休金繳納方式,"3,160",424,,2013/09/06
勞動部勞工保險局,勞退個人專戶查詢管道,"3,740",489,100,2013/09/06
勞動部勞工保險局,勞工退休金月提繳工資分級表,"8,404",708,,2013/09/06
勞動部勞工保險局,積欠工資墊償歷年統計,"2,315",405,,2013/09/06
勞動部勞工保險局,積欠工資墊償追償統計,"2,406",423,,2013/09/06
勞動部,工會團體名冊,"6,731","1,827",20,2013/09/06
勞動部,勞動基準法適用公告,"3,391",528,,2013/09/06
勞動部,勞動基準法第84條之1核定工作者,"5,575","1,134",100,2013/09/06
勞動部,基本工資之制定與調整經過,"6,017",792,100,2013/09/06
教育部國民及學前教育署,學生身高平均值(6歲-15歲),"27,126","2,200",100,2013/09/06
教育部國民及學前教育署,國小學生體位趨勢,"7,509","1,084",20,2013/09/06
教育部國民及學前教育署,特殊教育學校名錄,"2,725",349,,2013/09/06
教育部統計處,大專校院校別職員.警衛.工友人數,"2,886",505,20,2015/01/30
教育部統計處,大專校院校地校舍面積統計,"7,388","1,428",80,2015/01/30
教育部統計處,大專校院圖書館統計,"7,365","1,496",80,2015/01/30
教育部統計處,大專校院境外學生人數統計,"7,743","2,083",,2015/02/05
教育部統計處,大專校院外籍專任教師統計－按校別、性別與職級別分,"2,830",471,,2015/01/30
教育部統計處,大專校院外籍專任教師統計－按校別、國別、性別與職級別分,"3,047",503,100,2015/01/30
僑務委員會,十月慶典回國僑胞報到人數,"2,166",166,,2013/09/06
僑務委員會,函授教育入學及結業學生人數,"1,846",158,,2013/09/06
僑務委員會,大專院校畢業僑生人數,"2,172",181,,2013/09/06
僑務委員會,僑民對九二一大地震之反應及捐款情形,"2,336",164,100,2013/09/06
勞動部,台灣勞工季刊,"12,691",786,100,2013/09/13
行政院環境保護署,國際環保新聞週報,"4,884",790,,2013/07/25
行政院環境保護署,環保新聞,"3,076",917,,2013/09/10
僑務委員會,海外僑教中心地址及聯絡資訊,"2,219",151,100,2013/09/13
僑務委員會,歷屆美洲各地中華會館、中華公所、華僑總會聯誼會召開年會時間及地點,"2,348",150,100,2013/09/13
僑務委員會,歷屆歐洲華僑團體聯誼會召開年會時間及地點,"2,129",131,100,2013/09/13
僑務委員會,歷屆中美洲暨巴拿馬六國中華、華僑總會聯合總會召開年會時間及地點,"2,471",134,100,2013/09/13
僑務委員會,核發華僑身分證明書案件─按僑居地別分,"1,981",149,,2013/09/13
僑務委員會,僑務委員會議資料表,"2,067",193,,2013/09/13
行政院主計總處,消費者物價商品性質分類指數,"4,337",682,,2013/09/13
交通部,自用小客車使用狀況調查,"14,214","2,064",100,2016/05/11
交通部,汽車貨運調查,"6,958",788,100,2016/08/22
台灣自來水股份有限公司,水質資訊,"8,124","1,221",80,2013/09/25
台灣自來水股份有限公司,供水人口及普及率,"6,390",843,100,2013/09/25
台灣自來水股份有限公司,深溝水源生態園區介紹,"2,681",273,,2013/09/25
教育部國民及學前教育署,奧林匹亞競賽歷年參賽成績,"3,284",315,,2013/09/25
教育部國民及學前教育署,高級中等學校實用技能學程核班情形,"3,050",353,,2013/09/25
教育部國民及學前教育署,建教合作班核班情形,"2,295",329,,2013/09/25
教育部國民及學前教育署,十二年國民基本教育-國中活化教學列車影片,"2,466",205,,2013/09/25
教育部國民及學前教育署,國民中小學教科書審定通過表,"2,433",166,,2013/09/25
國家教育研究院,國家教育研究院專案研究報告,"2,825",187,,2013/09/25
國家教育研究院,國際教育訊息電子報,"2,899",174,,2013/09/25
國家教育研究院,愛學網電視館,"6,117",179,100,2013/09/25
國家教育研究院,教育學學術名詞,"2,690",156,,2013/09/25
國家教育研究院,中央機關一般職稱雙語詞彙,"20,734","4,625",100,2013/09/25
國立教育廣播電臺,國立教育廣播電臺公告事項,"1,721",160,100,2013/09/25
國立教育廣播電臺,國立教育廣播電臺大事紀要,"2,239",157,100,2013/09/25
國立教育廣播電臺,國立教育廣播電臺文教新聞,"2,169",169,100,2013/09/25
國立教育廣播電臺,國立教育廣播電臺節目快訊,"2,178",181,100,2013/09/25
國家發展委員會,"都市及區域發展統計彙編 ─ 都市及區域發展指標","3,035",277,,2013/09/28
國家發展委員會,"都市及區域發展統計彙編 ─ 1-1.土地面積、戶數、人口數、人口密度、年齡結構及扶養比例","4,285",498,20,2013/09/28
國家發展委員會,"都市及區域發展統計彙編 ─ 1-2.土地面積、戶數、人口數、人口密度、年齡結構及扶養比例按主要都市分","4,955",459,,2013/09/28
國家發展委員會,"都市及區域發展統計彙編 ─ 1-3.人口成長","2,702",279,100,2013/09/28
國家發展委員會,"都市及區域發展統計彙編 ─ 1-4.人口成長按主要都市分","2,554",215,80,2013/09/28
國家發展委員會,"都市及區域發展統計彙編 ─ 1-5.農戶與非農戶人口","2,101",206,,2013/09/28
經濟部加工出口區管理處,園區土地資訊,"3,559",431,,2013/09/30
經濟部加工出口區管理處,園區標準廠房資訊,"3,107",370,,2013/09/30
經濟部加工出口區管理處,園區事業別營業額資訊,"2,325",192,,2013/09/30
經濟部加工出口區管理處,園區事業資金來源資訊,"1,992",153,,2013/09/30
