"編號","資料名稱","資料來源","更新頻率","檔案格式","資料連結網址","分類及編號","資料集描述","主要欄位說明","資料集類型","最後更新時間","資料集提供機關","資料量","收錄期間(起)","收錄期間(迄)","授權方式","計費方式","計費說明網址","計費法令依據","資料集說明網址","編碼格式","標籤/關鍵字","建立日期","資料集提供機關聯絡人","資料集提供機關電話","資料集提供機關聯絡人電子郵件","備註"
"12","臺北市登記家數統計表(依行業別及行政區)","臺北市商業處","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=58cefb37-9629-4eae-9447-075b76513661","公共資訊","臺北市登記家數統計表(依行業別及行政區)","行業別、行政區、組織","原始資料","2018-07-06 14:48:19","臺北市商業處","7KB","","2018-06-30","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2016-04-25 15:14:37","陳錦玲","02-27208889-6518","cx_mbx412@mail.taipei.gov.tw",""
"13","臺北市合法八大行業業者清冊","臺北市商業處","每月","ods","https://beta.data.taipei/dataset/detail/metadata?id=dd0548f2-0372-4e4f-8c74-9a4121f27d35","休閒旅遊","臺北市合法八大行業業者清冊","序號、公司/商業名稱、 統一編號、 經營行業、行政區、 營業場所地址、公共意外險保單到期日、備註","原始資料","2018-07-06 14:27:47","臺北市商業處","141筆","","2018-06-30","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2016-04-25 16:35:13","莊宗儒","02-27208889-6540","cx_15010@mail.taipei.gov.tw",""
"14","臺北市商圈通訊錄","臺北市商業處","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=89f53365-ea7b-4132-b702-27b26a575b3b","休閒旅遊","臺北市商圈組識通訊錄","分區、商圈名稱、組織或里辦公處、組織代表、職稱、聯絡電話、傳真、手機、商圈通訊地址、電子信箱","原始資料","2018-07-06 14:21:42","臺北市商業處","142","","2018-06-30","依政府資料開放授權條款-第1版","免費","無","無","","Unicode","商圈,通訊錄","2014-12-31 11:46:34","吳健良","02-27256478-6478","cx_10478@mail.taipei.gov.tw",""
"15","颱風豪雨期間外租機械佈設點","臺北市政府工務局水利工程處","不定期","KML,ZIP","https://beta.data.taipei/dataset/detail/metadata?id=cdbc2677-7f23-42e5-9b83-a57ab9bee39c","公共資訊","颱風豪雨期間因應低窪及易淹水地區委託民間廠商協助佈設抽水機等機具進行防救工作","行政區、佈設地點、機具種類及數量、現場指揮人員及聯絡電話、承攬廠商","網路服務","2018-07-06 13:49:42","臺北市政府工務局水利工程處","","2016-07-01","2018-06-08","依政府資料開放授權條款-第1版","免費","","","","big5","外租機械","2016-07-04 14:02:37","鄧文賓","02-27208889-2654","ng_0603@mail.taipei.gov.tw",""
"16","役男申請複檢案件統計表","臺北市政府兵役局","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=c2c6367c-2ce3-4035-9c37-00d8dbbbdf26","服兵役","臺北市役男申請複檢案件統計","複檢醫院,公費人數,自費人數,合計","原始資料","2018-07-06 13:34:41","臺北市政府兵役局","5","2015-04-01","2015-04-30","依政府資料開放授權條款-第1版","免費","無","無","","Big5,utf-8","性平","2015-05-19 15:40:09","卓永平","(02)23654361分機722","ao-aj7324@mail.taipei.gov.tw",""
"17","公務出國報告","臺北市政府研究發展考核委員會","每年","xlsx","https://beta.data.taipei/dataset/detail/metadata?id=57c187a9-643e-4291-9265-b886135d57dd","公共資訊","本府及所屬各機關公務出國報告相關資訊統計","統識別號、計畫名稱、報告名稱、電子全文檔、計畫主辦機關、出國人員、前往地區、出國類別、出國期間、報告日期、主題分類、施政分類、關鍵詞、報告書頁數、報告內容摘要","原始資料","2018-07-06 12:57:34","臺北市政府研究發展考核委員會","","2012-01-01","2018-06-30","依政府資料開放授權條款-第1版","免費","","","","UTF-8,utf-8","","2018-02-12 15:31:53","宋穎欣","02-27208889-2276","wa-0280@mail.taipei.gov.tw",""
"18","臺北市水質監測資訊","臺北自來水事業處","每15分鐘","XML","https://beta.data.taipei/dataset/detail/metadata?id=961ca397-4a59-45e8-b312-697f26b059dc","生活安全及品質","臺北市自來水事業處各水質監測站，所測得水質之濁度、餘氯、酸鹼度等數據15分鐘平均值","1.update_date : 日期
2.update_time : 時間
3.qua_id : 監控站ID
4.code_name :  監控站名稱
5.longitude : 經度
6.latitude: 緯度
7.qua_cntu: 濁度(NTU)
8.qua_cl:  餘氯(mg/L)
9.qua_ph: 酸度(pH)
10.偵測值-9係維修中，暫停偵測。","原始資料","2018-07-06 05:49:00","臺北自來水事業處","91","","","依政府資料開放授權條款-第1版","免費","無","無","無","UTF-8","水質監測","2014-12-31 11:47:51","張文旭","02-87335837","winson@water.gov.taipei",""
"19","今日氣象資訊","","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=5bc82dc7-f2a2-4351-abc8-c09c8a8d7529","公共資訊","今日氣象資訊資料集描述","今日氣象資訊主要欄位說明","網路服務","2018-07-06 05:19:05","","2418","","","依政府資料開放授權條款-第1版","免費","","","","","","2014-12-31 19:44:26","陳崴逸","02-27258588","ic-wychen@mail.taipei.gov.tw",""
"20","一週氣象資訊","","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=bceb2963-d2dd-4f2d-929c-67c1c0d48667","公共資訊","一週氣象資訊資料集描述","一週氣象資訊主要欄位說明","網路服務","2018-07-06 05:19:03","","330","","","依政府資料開放授權條款-第1版","免費","","","","","","2014-12-31 19:43:16","陳崴逸","2720-8889#8588","ic-wychen@mail.taipei.gov.tw",""
"21","市政網站整合平台之最新消息","臺北市政府資訊局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=1a97fef5-dc98-4b6b-8694-5d6b3f6f2442","公共資訊","市政網站整合平台之最新消息資料集描述","市政網站整合平台之最新消息主要欄位說明","原始資料","2018-07-05 20:48:37","臺北市政府資訊局","823","","","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2014-12-31 19:36:22","王怡文","02-27208889-2864","ic-a610050@mail.taipei.gov.tw",""
"22","學習型機構","","每天","JSON","https://beta.data.taipei/dataset/detail/metadata?id=ac589468-529b-4636-a9b2-ab57ae41cbcb","求學及進修","學習型機構資料集描述","學習型機構主要欄位說明","原始資料","2018-07-05 20:44:04","","404","","","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2014-12-31 19:56:41","遲丕鑫","2720-8889分機1231","u8312202@mail.taipei.gov.tw",""
"23","臺北市企業營運總部分布圖","臺北市政府產業發展局","每季","XML","https://beta.data.taipei/dataset/detail/metadata?id=d23e6ef4-3b78-4e74-8f8e-93cbe0c66515","開創事業","臺北市企業營運總部分布圖。","企業名稱、公司地址、產業類別、座標(TWD97)、認定函效期","網路服務","2018-07-05 19:18:04","臺北市政府產業發展局","76","2008-01-01","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","企業營運總部,產業經濟","2014-12-31 11:46:15","倪瑋成","02-27208889-1225","ea-10016@mail.taipei.gov.tw ",""
"24","臺北市加油站及加氣站分布圖","臺北市政府產業發展局","每月","XML","https://beta.data.taipei/dataset/detail/metadata?id=2385447a-6793-4055-8ce0-b601ffa5e9b5","交通及通訊","臺北市加油站及加氣站分布圖。","行政區、名稱、站名、供油廠商、地址、電話、營業時間、加油站、加氣站、座標(TWD97)","網路服務","2018-07-05 19:16:01","臺北市政府產業發展局","77","2008-01-01","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","加氣站,加油站","2014-12-31 11:48:53","孫樹深","02-27208889-6611","ea-40248@mail.taipei.gov.tw",""
"25","臺北市登記工廠分佈圖及基本資料","臺北市政府產業發展局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=c8215f0d-20fa-4350-bcd9-da82432c2c9d","開創事業","臺北市登記工廠分佈圖及基本資料。","編號、工廠名稱、地址、座標(TWD97)、負責人","網路服務","2018-07-05 19:14:02","臺北市政府產業發展局","1137","1952-01-01","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","工廠,產業經濟","2014-12-31 11:53:38","陳運昇 ","02-27256562-6576","ea-40142@mail.taipei.gov.tw","本資料預覽地圖為：
https://www.google.com/fusiontables/DataSource?docid=14tk6OOhklkF4THt6jL1ROFTZarBUEBlFFgJhwYfp
106/04/15製作，以門牌地址定位，部分資料可能會在顯示上有所偏移"
"26","臺北市公用天然氣導管承裝業業者","臺北市政府產業發展局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=3a7f9832-d020-4a6d-9b4d-6727fc149352","生活安全及品質","取得本市公用天然氣導管承裝業執照業者資料。","承裝業名稱、證號、營利事業統一編號、營業地址、負責人姓名、核准日期/文號","網路服務","2018-07-05 19:12:01","臺北市政府產業發展局","39","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","天然氣","2014-12-31 11:57:29","侯欣妤","02-27208889-1306","ea-60224@mail.taipei.gov.tw",""
"27","臺北市電器承裝業業者","臺北市政府產業發展局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=166c8468-c496-4e27-ade3-13ee7d4a3881","生活安全及品質","取得本市電器承裝業登記執照業者資料。","承裝業名稱、證號、營利事業統一編號、營業地址、負責人姓名、核設日期/文號","網路服務","2018-07-05 19:10:01","臺北市政府產業發展局","801","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","電器","2014-12-31 11:57:28","侯欣妤","02-27208889-1306 ","ea-60224@mail.taipei.gov.tw ",""
"28","臺北市自來水管承裝商業者","臺北市政府產業發展局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=81b2a881-d37b-41b0-b9e0-39a2fef486ce","生活安全及品質","取得本市自來水管承裝商許可業者資料。","承裝商名稱、證號、營業地址、負責人姓名","網路服務","2018-07-05 19:08:03","臺北市政府產業發展局","479","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","自來水","2014-12-31 11:56:57","侯欣妤","02-27208889-1306 ","ea-60224@mail.taipei.gov.tw ",""
"29","臺北市政府委託研究案建議事項採行情形","臺北市政府研究發展考核委員會","半年","docx","https://beta.data.taipei/dataset/detail/metadata?id=60db9e84-7840-4450-9c0d-f2d2611d402b","公共資訊","本府委託研究案建議事項採行情形","建議事項、採行情形、辦理機關、採行等級。","原始資料","2018-07-05 17:31:26","臺北市政府研究發展考核委員會","","2014-01-01","2016-12-31","依政府資料開放授權條款-第1版","免費","","","","UTF-8","委託研究案","2015-08-07 16:07:56","宋穎欣","02-27208889-2276","wa-0280@mail.taipei.gov.tw",""
"30","107年度花卉批發市場休市日資訊","臺北市市場處","每年","utf-8","https://beta.data.taipei/dataset/detail/metadata?id=6ff1dd71-c432-48cf-8da7-cbd8392f6dc6","公共資訊","花卉批發市場休市日","檔案","原始資料","2018-07-05 16:19:32","臺北市市場處","","2018-01-01","2018-12-31","依政府資料開放授權條款-第1版","免費","無","無","","","花卉批發市場休市日","2016-04-26 14:53:46","王婉玉","02-25505220-2201","cw-1713@mail.taipei.gov.tw",""
"31","107年度畜產批發市場休市日資訊","臺北市市場處","每年","CSV","https://beta.data.taipei/dataset/detail/metadata?id=d3de2fcb-8d58-43c2-922e-7f98f38a5409","公共資訊","107年度畜產批發市場休市日","檔案","原始資料","2018-07-05 16:18:32","臺北市市場處","66","2018-01-01","2018-12-31","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","畜產批發市場休市日","2018-07-05 08:59:11"," 王婉玉","02-2550-5220#2201","cw-1713@mail.taipei.gov.tw ",""
"32","107年度農產(果菜)批發市場休市日資訊","臺北市市場處","每年","CSV","https://beta.data.taipei/dataset/detail/metadata?id=cb6c9a25-4d5c-4e31-833d-a98bb1c988db","公共資訊","107年度農產(果菜)批發市場休市日","檔案","原始資料","2018-07-05 16:18:01","臺北市市場處","65","2018-01-01","2018-12-31","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","農產批發市場休市日","2016-04-26 14:50:08","王婉玉","02-25505220-2201","cw-1713@mail.taipei.gov.tw",""
"33","107年度漁產批發市場休市日資訊","臺北市市場處","每年","CSV","https://beta.data.taipei/dataset/detail/metadata?id=9f0031b7-916f-4377-8981-f994c6598202","公共資訊","107年度漁產批發市場休市日","檔案","原始資料","2018-07-05 16:16:45","臺北市市場處","67","2018-01-01","2018-12-31","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","漁產批發市場休市日","2016-04-26 14:52:01","王婉玉","02-25505220-2201","cw-1713@mail.taipei.gov.tw",""
"34","替代役備役列管人數分析統計表","臺北市政府兵役局","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=f47561be-7a08-46f8-be30-69968248636f","服兵役","替代役備役列管人數分析統計","組別,梯退,零退,遷入,小計","原始資料","2018-07-05 15:37:12","臺北市政府兵役局","24","","","依政府資料開放授權條款-第1版","免費","無","無","","Big5,Unicode,utf-8","性平","2015-05-20 16:26:16","卓永平","(02)23654361分機722","ao-aj7324@mail.taipei.gov.tw",""
"35","臺北市私立及非營利幼兒園通訊資料","臺北市政府教育局","每年","xlsx","https://beta.data.taipei/dataset/detail/metadata?id=3a891368-99e3-40e4-9c4e-a4ea94222938","公共資訊","臺北市各行政區私立及非營利幼兒園名稱、電話及地址","行政區別、設立別、園名、電話、地址、核定招收總人數","原始資料","2018-07-05 15:29:35","臺北市政府教育局","532","2013-02-01","2018-03-06","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","幼兒園名冊","2014-12-31 11:49:22","陳冠云","02-27208889-1088","edu_pse.19@mail.taipei.gov.tw",""
"36","役男徵兵檢查BMI值統計表","臺北市政府兵役局","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=0d1cee1e-4963-41b5-bf9d-93dd5e413cea","服兵役","臺北市役男徵兵檢查BMI值統計","BMI值體位,人數,百分比,總計","原始資料","2018-07-05 15:27:35","臺北市政府兵役局","43","2015-01-01","2015-04-30","依政府資料開放授權條款-第1版","免費","無","無","","Big5,utf-8","性平","2015-05-19 15:19:28","卓永平","(02)23654361分機722","ao-aj7324@mail.taipei.gov.tw",""
"37","臺北市停水資訊-(大臺北地區)","臺北自來水事業處","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=75aa4c40-db2a-47b7-8f0a-b10d4ff9788b","生活安全及品質","大臺北地區停水區域資訊，於8月10日起資料來源變更，原資料將停止更新，請改介接臺北市停水資訊-(大臺北地區)-新版，造成不便請見諒。","SW_No：停水案件系統代碼、FS_Date：預定開始停水日期、FC_Date：預定最後通水日期、SW_Area：停水區域、Description：停水通知內容、PubDate：公告日期、StopWaterSection_twd97：停水區域(採TWD97座標，以WKT表示)、StopWaterSection_twd97_wgs84(採WGS84座標，以WKT表示)：
","原始資料","2018-07-05 15:22:54","臺北自來水事業處","6","","","依政府資料開放授權條款-第1版","免費","無","無","無","UTF-8","停水訊息,施工停水,無水","2014-12-31 11:56:32","詹智超","87335711","jake@twd.gov.tw",""
"38","役男徵兵檢查體位判等因素分析統計表","臺北市政府兵役局","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=09eb9ecb-4469-4a44-a680-241ab74c582f","服兵役","臺北市役男徵兵檢查體位判等因素分析統計","項次,病名,常備役暨常備役甲,常備役乙,常備役暨替代役甲,替代役乙,免役,體位未定,專科檢查,合計","原始資料","2018-07-05 15:21:21","臺北市政府兵役局","193","2015-01-01","2015-04-30","依政府資料開放授權條款-第1版","免費","無","無","","Big5,utf-8","性平","2015-05-19 15:14:11","卓永平","(02)23654361分機722","ao-aj7324@mail.taipei.gov.tw",""
"39","臺北市立動物園_行事曆","臺北市立動物園","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=61ff4b3a-8a8a-47e4-96ec-e180b2abbfdb","休閒旅遊","本資料集提供臺北市立動物園之園區活動行事曆，包含文字簡介、圖片、網站連結及座標等資訊。(本資料集開放授權應用內容僅限文字範圍，圖片、聲音及影片等多媒體資訊不在開放授權範圍)","類別、標題、摘要說明、簡介、起始日期、結束日期、時間、地點、WGS84座標系統(WKT格式)、上架日期、下架日期、關鍵字、圖片說明、圖片URL、網頁URL位址、地標、資料更新日期","原始資料","2018-07-05 15:14:47","臺北市立動物園","355","2015-01-01","2015-12-31","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","動物園,教育,活動,研習,研討會,臺北市立動物園,行事曆","2014-12-31 11:50:06","林莉立","02-29382300#531","wlx26@zoo.gov.tw","本資料集提供愛台北市政雲服務「愛遊動物園」單元介接使用。"
"40","役男徵兵檢查人數統計表","臺北市政府兵役局","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=34983101-5695-41bd-b56c-61869c13f769","服兵役","臺北市役男徵兵檢查人數統計","年次,判定體位檢查人數,判定體位常備役體位暨常甲,判定體位常備役乙等,判定體位替代役體位暨替甲,判定體位替代役乙等,判定體位免役體位,判定體位體位未定,判定體位專科檢查,身心障礙書面審核,役男體檢住所檢查,役男體檢重點檢查,未受檢查合計,未受檢查在學緩徵,未受檢查報考大專,未受檢查現役軍警,未受檢查因素緩徵,未受檢查出境,未受檢查僑民役男,未受檢查其他","原始資料","2018-07-05 15:11:54","臺北市政府兵役局","13","2015-01-01","2015-04-30","依政府資料開放授權條款-第1版","免費","無","","","Big5,utf-8","性平","2015-05-19 15:06:58","卓永平","(02)23654361分機722","ao-aj7324@mail.taipei.gov.tw",""
"41","臺北市廢棄物處理場再生土領用方式及領據","臺北市政府環境保護局","不定期","odt","https://beta.data.taipei/dataset/detail/metadata?id=689067bb-3ce7-4d00-afa4-849f73192d69","生活安全及品質","廢棄物處理場再生土領用方式、領據及領用地點資訊","再生土領用方式、再生土領據、再生土領用地點","原始資料","2018-07-05 14:14:03","臺北市政府環境保護局","3","2016-05-19","2017-03-30","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","再生土,再生土簡介,再生土領據","2016-05-19 16:29:09","馬宜卉","02-26511434-138","la-ma_e168@mail.taipei.gov.tw",""
"42","臺北市文化快遞資訊","臺北市政府文化局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=e9bbb0c9-4d23-45b1-96d1-7b18565bbea6","休閒旅遊","文化快遞資訊","後續欄位說明順序為[欄位,型別,長度,說明]
[ID,INT,4,活動編號，為固定之唯一值(流水號)]
[EventName,Nvarchar,100,活動名稱]
[ShowGroupName,Nvarchar,100,演出單位]
[EventTypeID,INT,4,資料類別]
1.表演萬象
2.展覽廣場
3.音樂現場
4.講座研習
5.電影瞭望
6.城市萬花筒
7.親子活動
8.城外行腳
[DurationStart,datetime,,活動開始時間]
[DurationEnd,datetime,,活動結束時間]
[IsCharge,INT,4,是否免費]
0:否,1:是
[Fee,Nvarchar,100,票價]
[ShoppingUrl,Nvarchar,200,售票網址]
[ContactName,Nvarchar,50,活動連絡人]
[ContactTel,nvarchar,50,活動連絡電話]
[ContactFax,Nvarchar,30,活動傳真電話]
[BriefIntroduction,ntext,,活動簡介]
[vContent,ntext,,活動內容]
[EventUrl,Nvarchar,200,活動網址]
[YouTubeUrl,Nvarchar,200,YouTube影音網址]
[ImageFile,varchar,50,大圖檔案名稱(提供無版權爭議且可對外流通供應之照片，以讓加值業者可透過本網址連結使用)]
[LogoImageFile,varchar,50,小圖檔案名稱(提供無版權爭議且可對外流通供應之照片，以讓加值業者可透過本網址連結使用)]
[InsertTime,Datetime,活動發布時間]
[dtStart,Datetime,,場次起始日期]
[dtEnd,Datetime,,場次結束日期]
[timeStart,Varchar,5,場次開始時間]
[Location,Nvarchar,500,場次地點]
[CityID,Int,4,縣市名]
[AreaID,Int,4,區域名]
[Address,Nvarchar,100,場次地址]
[longitude,Varchar,30,經度]
[latitude,Varchar,30,緯度]

註ㄧ：上述所有欄位若為空值在json格式，輸出資料會以「null」字樣呈現。
註二：上述所有欄位若為空值在xml格式，輸出資料皆不會帶值。","原始資料","2018-07-05 11:50:06","臺北市政府文化局","657","2011-09-01","現在","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","藝文展演","2014-12-31 11:56:35","鄭梓宣","(02) 2720-8889 ext.3529","bt_phoebe@mail.taipei.gov.tw",""
"43","臺北市嬰幼兒照顧服務-兒童托育資源中心","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=01ac5a1d-dfc3-44c7-84a7-6d76bcb2879b","公共資訊","嬰幼兒照顧服務-兒童托育資源中心","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:29","臺北市政府社會局","1","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","性別平等,性平","2014-12-31 11:56:54","呂靖文","02-27208889-1603","jean6710@mail.taipei.gov.tw",""
